run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,523.2,1,20000,204,0.325181,16924,14.42,25,1101111001110010110110111100111100100011
1,2001,521.8,1,20000,204,0.329185,16542,14.33,25,1101111001110000110111111100001110101011
2,2002,523.2,1,20000,204,0.326421,16924,14.42,25,1101111001110010110110111100111100100011
3,2003,523.2,1,20000,204,0.329216,16924,14.42,25,1101111001110010110110111100111100100011
4,2004,523.2,1,20000,204,0.328494,16924,14.42,25,1101111001110010110110111100111100100011
5,2005,523.2,1,20000,204,0.329632,16924,14.42,25,1101111001110010110110111100111100100011
6,2006,523.2,1,20000,204,0.331075,16924,14.42,25,1101111001110010110110111100111100100011
7,2007,521.8,1,20000,204,0.329554,16542,14.33,25,1101111001110000110111111100001110101011
8,2008,523.2,1,20000,204,0.333668,16924,14.42,25,1101111001110010110110111100111100100011
9,2009,521.8,1,20000,204,0.334731,16542,14.33,25,1101111001110000110111111100001110101011
10,2010,523.2,1,20000,204,0.334098,16924,14.42,25,1101111001110010110110111100111100100011
11,2011,523.2,1,20000,204,0.331644,16924,14.42,25,1101111001110010110110111100111100100011
12,2012,523.2,1,20000,204,0.33244,16924,14.42,25,1101111001110010110110111100111100100011
13,2013,523.2,1,20000,204,0.33171,16924,14.42,25,1101111001110010110110111100111100100011
14,2014,523.2,1,20000,204,0.331619,16924,14.42,25,1101111001110010110110111100111100100011
15,2015,523.2,1,20000,204,0.33141,16924,14.42,25,1101111001110010110110111100111100100011
16,2016,523.2,1,20000,204,0.331272,16924,14.42,25,1101111001110010110110111100111100100011
17,2017,523.2,1,20000,204,0.335543,16924,14.42,25,1101111001110010110110111100111100100011
18,2018,523.2,1,20000,204,0.332699,16924,14.42,25,1101111001110010110110111100111100100011
19,2019,523.2,1,20000,204,0.333137,16924,14.42,25,1101111001110010110110111100111100100011
