run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.702007,5,11.27,8,2254
0,4000,2,525,0.702007,5,6.55,4,4238
0,4000,4,865,0.695901,6,4.125,4,5502
0,4000,6,1137,0.68922,10,5.225,5,6612
0,4000,8,1406,0.683636,14,7.305,7,8085
0,4000,10,1673,0.681441,17,9.485,9,10088
0,4000,12,1930,0.681152,19,12.79,14,12713
0,4000,14,2191,0.681152,19,13.275,14,15625
0,4000,16,2461,0.681152,19,14.25,15,18937
0,4000,18,2703,0.677866,19,14.91,17,22018
0,4000,20,2957,0.677866,19,14.88,17,25328
0,4000,22,3206,0.677866,19,14.405,15,28391
0,4000,24,3473,0.677866,19,14.785,16,31824
0,4000,26,3748,0.677866,19,14.395,16,35289
0,4000,28,4000,0.677866,19,14.495,16,38385
0,4000,30,4253,0.677866,19,15.45,17,41781
0,4000,32,4533,0.463143,13,14.8,16,45584
0,4000,34,4804,0.419101,7,13.81,14,48943
0,4000,36,5119,0.340735,9,9.775,9,51958
0,4000,38,5412,0.340735,9,8.23,8.5,53982
0,4000,40,5703,0.340467,14,8.94,8.5,56076
0,4000,42,5994,0.334275,12,9.605,9,58224
0,4000,44,6267,0.334275,12,11.47,11,60656
0,4000,46,6571,0.334275,12,12.135,12,63810
0,4000,48,6864,0.322875,14,11.95,12,66728
0,4000,50,7150,0.322875,14,12.395,12,69618
0,4000,52,7445,0.319682,15,12.15,11,72602
0,4000,54,7732,0.319682,15,12.28,12,75617
0,4000,56,7998,0.319682,15,13.305,13,78438
0,4000,58,8287,0.318497,18,13.765,13,81721
0,4000,60,8563,0.318497,18,14.84,14,85068
0,4000,62,8855,0.315865,17,14.285,14,88583
0,4000,64,9115,0.31296,21,15.97,16,92073
0,4000,66,9389,0.310518,22,15.99,16,95886
0,4000,68,9654,0.309918,23,16.09,16.5,99561
0,4000,70,9932,0.308699,27,17.115,18,103557
0,4000,72,10215,0.308699,27,16.54,17,107683
0,4000,74,10494,0.308699,27,16.075,16,111610
